outlet_key,month_id,roster_decision_priority_score_0_100,roster_decision_priority_band,management_action_urgency,recommended_management_focus,executive_staffing_posture,external_context_regime,external_signal_confidence_score_0_100,management_priority_read,management_action_posture,external_context_read,staffing_risk_read,executive_summary_headline,executive_summary_detail,management_interpretation_summary,executive_boundary_note
MLT_OUTLET_001,2017-11,34.241320551667044,low,baseline,Maintain baseline staffing discipline,Maintain baseline staffing discipline,neutral,50.0,Low deployment priority; maintain current deployment stance and monitor for drift.,Maintain current staffing posture and review only if internal signals deteriorate.,External context is neutral; rely mainly on internal operating signals for deployment decisions.,Staffing risk appears manageable under the current monthly operating pattern.,MLT_OUTLET_001: maintain baseline staffing discipline and continue monthly monitoring.,"Priority band is low, so baseline staffing discipline remains appropriate. Recommended focus: Maintain baseline staffing discipline. External context is neutral with confidence 50.0/100; continue monitoring without forcing unnecessary deployment change.",Low deployment priority; maintain current deployment stance and monitor for drift. | Maintain current staffing posture and review only if internal signals deteriorate. | External context is neutral; rely mainly on internal operating signals for deployment decisions. | Staffing risk appears manageable under the current monthly operating pattern. | Focus: Maintain baseline staffing discipline.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2017-12,43.04378005056719,medium,moderate,Selective pressure management and roster fine-tuning,Selective pressure management and roster fine-tuning,neutral,50.0,Moderate deployment priority; monitor pressure and adjust staffing discipline selectively.,Maintain selective intervention posture with close monitoring of team pressure.,External context is neutral; rely mainly on internal operating signals for deployment decisions.,Staffing risk is watchlist-level; adjust selectively and monitor execution stability.,MLT_OUTLET_001: localized staffing pressure should be managed through disciplined roster fine-tuning.,"Priority band is medium, so targeted staffing adjustment is more appropriate than structural overreaction. Recommended focus: Selective pressure management and roster fine-tuning. External context is neutral with confidence 50.0/100, and should be used as contextual framing rather than direct demand truth.",Moderate deployment priority; monitor pressure and adjust staffing discipline selectively. | Maintain selective intervention posture with close monitoring of team pressure. | External context is neutral; rely mainly on internal operating signals for deployment decisions. | Staffing risk is watchlist-level; adjust selectively and monitor execution stability. | Focus: Selective pressure management and roster fine-tuning.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2018-01,32.21969993085379,low,baseline,Maintain baseline staffing discipline,Maintain baseline staffing discipline,neutral,50.0,Low deployment priority; maintain current deployment stance and monitor for drift.,Maintain current staffing posture and review only if internal signals deteriorate.,External context is neutral; rely mainly on internal operating signals for deployment decisions.,Staffing risk appears manageable under the current monthly operating pattern.,MLT_OUTLET_001: maintain baseline staffing discipline and continue monthly monitoring.,"Priority band is low, so baseline staffing discipline remains appropriate. Recommended focus: Maintain baseline staffing discipline. External context is neutral with confidence 50.0/100; continue monitoring without forcing unnecessary deployment change.",Low deployment priority; maintain current deployment stance and monitor for drift. | Maintain current staffing posture and review only if internal signals deteriorate. | External context is neutral; rely mainly on internal operating signals for deployment decisions. | Staffing risk appears manageable under the current monthly operating pattern. | Focus: Maintain baseline staffing discipline.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2018-02,31.844775444471715,low,baseline,Maintain baseline staffing discipline,Maintain baseline staffing discipline,neutral,50.0,Low deployment priority; maintain current deployment stance and monitor for drift.,Maintain current staffing posture and review only if internal signals deteriorate.,External context is neutral; rely mainly on internal operating signals for deployment decisions.,Staffing risk appears manageable under the current monthly operating pattern.,MLT_OUTLET_001: maintain baseline staffing discipline and continue monthly monitoring.,"Priority band is low, so baseline staffing discipline remains appropriate. Recommended focus: Maintain baseline staffing discipline. External context is neutral with confidence 50.0/100; continue monitoring without forcing unnecessary deployment change.",Low deployment priority; maintain current deployment stance and monitor for drift. | Maintain current staffing posture and review only if internal signals deteriorate. | External context is neutral; rely mainly on internal operating signals for deployment decisions. | Staffing risk appears manageable under the current monthly operating pattern. | Focus: Maintain baseline staffing discipline.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2018-03,36.268489248435536,medium,moderate,Targeted deployment adjustment and monitoring,Targeted deployment adjustment and monitoring,neutral,50.0,Moderate deployment priority; monitor pressure and adjust staffing discipline selectively.,Use targeted staffing adjustment rather than broad deployment changes.,External context is neutral; rely mainly on internal operating signals for deployment decisions.,Staffing risk appears manageable under the current monthly operating pattern.,MLT_OUTLET_001: selective staffing adjustment is appropriate without broad deployment expansion.,"Priority band is medium, so targeted staffing adjustment is more appropriate than structural overreaction. Recommended focus: Targeted deployment adjustment and monitoring. External context is neutral with confidence 50.0/100, and should be used as contextual framing rather than direct demand truth.",Moderate deployment priority; monitor pressure and adjust staffing discipline selectively. | Use targeted staffing adjustment rather than broad deployment changes. | External context is neutral; rely mainly on internal operating signals for deployment decisions. | Staffing risk appears manageable under the current monthly operating pattern. | Focus: Targeted deployment adjustment and monitoring.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2018-04,37.48625929744206,medium,moderate,Targeted deployment adjustment and monitoring,Targeted deployment adjustment and monitoring,neutral,50.0,Moderate deployment priority; monitor pressure and adjust staffing discipline selectively.,Use targeted staffing adjustment rather than broad deployment changes.,External context is neutral; rely mainly on internal operating signals for deployment decisions.,Staffing risk appears manageable under the current monthly operating pattern.,MLT_OUTLET_001: selective staffing adjustment is appropriate without broad deployment expansion.,"Priority band is medium, so targeted staffing adjustment is more appropriate than structural overreaction. Recommended focus: Targeted deployment adjustment and monitoring. External context is neutral with confidence 50.0/100, and should be used as contextual framing rather than direct demand truth.",Moderate deployment priority; monitor pressure and adjust staffing discipline selectively. | Use targeted staffing adjustment rather than broad deployment changes. | External context is neutral; rely mainly on internal operating signals for deployment decisions. | Staffing risk appears manageable under the current monthly operating pattern. | Focus: Targeted deployment adjustment and monitoring.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2018-05,38.90422619298448,medium,moderate,Targeted deployment adjustment and monitoring,Targeted deployment adjustment and monitoring,supportive,50.0,Moderate deployment priority; monitor pressure and adjust staffing discipline selectively.,Use targeted staffing adjustment rather than broad deployment changes.,"External context is supportive, but deployment action should still follow internal operating evidence.",Staffing risk appears manageable under the current monthly operating pattern.,MLT_OUTLET_001: selective staffing adjustment is appropriate without broad deployment expansion.,"Priority band is medium, so targeted staffing adjustment is more appropriate than structural overreaction. Recommended focus: Targeted deployment adjustment and monitoring. External context is supportive with confidence 50.0/100, and should be used as contextual framing rather than direct demand truth.","Moderate deployment priority; monitor pressure and adjust staffing discipline selectively. | Use targeted staffing adjustment rather than broad deployment changes. | External context is supportive, but deployment action should still follow internal operating evidence. | Staffing risk appears manageable under the current monthly operating pattern. | Focus: Targeted deployment adjustment and monitoring.","Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2018-06,45.97755460248916,high,high,Near-term staffing review and management attention,Near-term staffing review and management attention,supportive,50.0,High deployment priority; review staffing deployment and operating pressure immediately.,Prioritize near-term staffing review and deployment discipline.,External context is supportive and broadly aligned with internal operating signals.,Staffing risk is watchlist-level; adjust selectively and monitor execution stability.,MLT_OUTLET_001: immediate staffing attention required to stabilize coverage and deployment discipline.,"Priority band is high, so staffing coverage and deployment balance need immediate management attention. Recommended focus: Near-term staffing review and management attention. External context is supportive with confidence 50.0/100, but actionability remains anchored to internal operating proxies.",High deployment priority; review staffing deployment and operating pressure immediately. | Prioritize near-term staffing review and deployment discipline. | External context is supportive and broadly aligned with internal operating signals. | Staffing risk is watchlist-level; adjust selectively and monitor execution stability. | Focus: Near-term staffing review and management attention.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2018-07,47.13181904938946,high,high,Near-term staffing review and management attention,Near-term staffing review and management attention,supportive,50.0,High deployment priority; review staffing deployment and operating pressure immediately.,Prioritize near-term staffing review and deployment discipline.,"External context is supportive, but deployment action should still follow internal operating evidence.",Staffing risk is watchlist-level; adjust selectively and monitor execution stability.,MLT_OUTLET_001: immediate staffing attention required to stabilize coverage and deployment discipline.,"Priority band is high, so staffing coverage and deployment balance need immediate management attention. Recommended focus: Near-term staffing review and management attention. External context is supportive with confidence 50.0/100, but actionability remains anchored to internal operating proxies.","High deployment priority; review staffing deployment and operating pressure immediately. | Prioritize near-term staffing review and deployment discipline. | External context is supportive, but deployment action should still follow internal operating evidence. | Staffing risk is watchlist-level; adjust selectively and monitor execution stability. | Focus: Near-term staffing review and management attention.","Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2018-08,50.3309437459937,high,high,Coverage stabilization and deployment rebalancing,Coverage stabilization and deployment rebalancing,supportive,50.0,High deployment priority; review staffing deployment and operating pressure immediately.,Stabilize coverage first before expansion-oriented actions.,"External context is supportive, but deployment action should still follow internal operating evidence.",Staffing risk is watchlist-level; adjust selectively and monitor execution stability.,MLT_OUTLET_001: immediate staffing attention required to stabilize coverage and deployment discipline.,"Priority band is high, so staffing coverage and deployment balance need immediate management attention. Recommended focus: Coverage stabilization and deployment rebalancing. External context is supportive with confidence 50.0/100, but actionability remains anchored to internal operating proxies.","High deployment priority; review staffing deployment and operating pressure immediately. | Stabilize coverage first before expansion-oriented actions. | External context is supportive, but deployment action should still follow internal operating evidence. | Staffing risk is watchlist-level; adjust selectively and monitor execution stability. | Focus: Coverage stabilization and deployment rebalancing.","Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2018-09,40.21434578496857,medium,moderate,Targeted deployment adjustment and monitoring,Targeted deployment adjustment and monitoring,supportive,50.0,Moderate deployment priority; monitor pressure and adjust staffing discipline selectively.,Use targeted staffing adjustment rather than broad deployment changes.,External context is supportive and broadly aligned with internal operating signals.,Staffing risk is watchlist-level; adjust selectively and monitor execution stability.,MLT_OUTLET_001: selective staffing adjustment is appropriate without broad deployment expansion.,"Priority band is medium, so targeted staffing adjustment is more appropriate than structural overreaction. Recommended focus: Targeted deployment adjustment and monitoring. External context is supportive with confidence 50.0/100, and should be used as contextual framing rather than direct demand truth.",Moderate deployment priority; monitor pressure and adjust staffing discipline selectively. | Use targeted staffing adjustment rather than broad deployment changes. | External context is supportive and broadly aligned with internal operating signals. | Staffing risk is watchlist-level; adjust selectively and monitor execution stability. | Focus: Targeted deployment adjustment and monitoring.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2018-10,38.52006779192883,medium,moderate,Targeted deployment adjustment and monitoring,Targeted deployment adjustment and monitoring,supportive,50.0,Moderate deployment priority; monitor pressure and adjust staffing discipline selectively.,Use targeted staffing adjustment rather than broad deployment changes.,"External context is supportive, but deployment action should still follow internal operating evidence.",Staffing risk appears manageable under the current monthly operating pattern.,MLT_OUTLET_001: selective staffing adjustment is appropriate without broad deployment expansion.,"Priority band is medium, so targeted staffing adjustment is more appropriate than structural overreaction. Recommended focus: Targeted deployment adjustment and monitoring. External context is supportive with confidence 50.0/100, and should be used as contextual framing rather than direct demand truth.","Moderate deployment priority; monitor pressure and adjust staffing discipline selectively. | Use targeted staffing adjustment rather than broad deployment changes. | External context is supportive, but deployment action should still follow internal operating evidence. | Staffing risk appears manageable under the current monthly operating pattern. | Focus: Targeted deployment adjustment and monitoring.","Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2018-11,33.213454338999725,low,baseline,Maintain baseline staffing discipline,Maintain baseline staffing discipline,neutral,50.0,Low deployment priority; maintain current deployment stance and monitor for drift.,Maintain current staffing posture and review only if internal signals deteriorate.,External context is neutral; rely mainly on internal operating signals for deployment decisions.,Staffing risk appears manageable under the current monthly operating pattern.,MLT_OUTLET_001: maintain baseline staffing discipline and continue monthly monitoring.,"Priority band is low, so baseline staffing discipline remains appropriate. Recommended focus: Maintain baseline staffing discipline. External context is neutral with confidence 50.0/100; continue monitoring without forcing unnecessary deployment change.",Low deployment priority; maintain current deployment stance and monitor for drift. | Maintain current staffing posture and review only if internal signals deteriorate. | External context is neutral; rely mainly on internal operating signals for deployment decisions. | Staffing risk appears manageable under the current monthly operating pattern. | Focus: Maintain baseline staffing discipline.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2018-12,38.050071150402815,medium,moderate,Targeted deployment adjustment and monitoring,Targeted deployment adjustment and monitoring,neutral,50.0,Moderate deployment priority; monitor pressure and adjust staffing discipline selectively.,Maintain selective intervention posture with close monitoring of team pressure.,External context is neutral; rely mainly on internal operating signals for deployment decisions.,Staffing risk is watchlist-level; adjust selectively and monitor execution stability.,MLT_OUTLET_001: selective staffing adjustment is appropriate without broad deployment expansion.,"Priority band is medium, so targeted staffing adjustment is more appropriate than structural overreaction. Recommended focus: Targeted deployment adjustment and monitoring. External context is neutral with confidence 50.0/100, and should be used as contextual framing rather than direct demand truth.",Moderate deployment priority; monitor pressure and adjust staffing discipline selectively. | Maintain selective intervention posture with close monitoring of team pressure. | External context is neutral; rely mainly on internal operating signals for deployment decisions. | Staffing risk is watchlist-level; adjust selectively and monitor execution stability. | Focus: Targeted deployment adjustment and monitoring.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2019-01,30.67926736220436,low,baseline,Maintain baseline staffing discipline,Maintain baseline staffing discipline,soft,50.0,Low deployment priority; maintain current deployment stance and monitor for drift.,Maintain current staffing posture and review only if internal signals deteriorate.,External context is soft; use it as cautionary context rather than as a direct staffing trigger.,Staffing risk appears manageable under the current monthly operating pattern.,MLT_OUTLET_001: maintain baseline staffing discipline and continue monthly monitoring.,"Priority band is low, so baseline staffing discipline remains appropriate. Recommended focus: Maintain baseline staffing discipline. External context is soft with confidence 50.0/100; continue monitoring without forcing unnecessary deployment change.",Low deployment priority; maintain current deployment stance and monitor for drift. | Maintain current staffing posture and review only if internal signals deteriorate. | External context is soft; use it as cautionary context rather than as a direct staffing trigger. | Staffing risk appears manageable under the current monthly operating pattern. | Focus: Maintain baseline staffing discipline.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2019-02,32.74858770974406,low,baseline,Maintain baseline staffing discipline,Maintain baseline staffing discipline,neutral,50.0,Low deployment priority; maintain current deployment stance and monitor for drift.,Maintain current staffing posture and review only if internal signals deteriorate.,External context is neutral; rely mainly on internal operating signals for deployment decisions.,Staffing risk appears manageable under the current monthly operating pattern.,MLT_OUTLET_001: maintain baseline staffing discipline and continue monthly monitoring.,"Priority band is low, so baseline staffing discipline remains appropriate. Recommended focus: Maintain baseline staffing discipline. External context is neutral with confidence 50.0/100; continue monitoring without forcing unnecessary deployment change.",Low deployment priority; maintain current deployment stance and monitor for drift. | Maintain current staffing posture and review only if internal signals deteriorate. | External context is neutral; rely mainly on internal operating signals for deployment decisions. | Staffing risk appears manageable under the current monthly operating pattern. | Focus: Maintain baseline staffing discipline.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
