therapist_consistency_id,therapist_id,therapist_name,outlet_id,outlet_name,market_context,period_type,period_start,period_end,rolling_window_weeks,therapist_role,employment_type,active_flag,hours_available,hours_sold,utilization_percent,revenue_eur,yield_eur_per_sold_hour,revpath_proxy_eur_per_available_hour,avg_ticket_eur,rebooking_rate_percent,addon_attach_rate_percent,retail_attach_rate_percent,cancellation_impact_rate_percent,complaint_rate_percent,service_recovery_rate_percent,schedule_adherence_percent,attendance_reliability_percent,performance_level_score,utilization_stability_score,yield_stability_score,guest_quality_stability_score,commercial_consistency_score,attendance_consistency_score,variance_penalty_score,market_fairness_modifier_score,therapist_consistency_score_0_100,therapist_consistency_band,consistency_primary_gap,consistency_secondary_gap,consistency_variance_flag,coach_priority_flag,burnout_risk_flag,score_confidence_level,observed_weeks_count,observed_months_count,minimum_sample_rule_applied,data_coverage_flag,source_dependency_status,qa_status,audit_note,status,month_id,avg_schedule_stability_score_0_100,avg_workload_density_ratio,productive_utilization_ratio,idle_hour_ratio,overtime_hour_ratio,coverage_gap_day_ratio,burnout_exposure_day_ratio,burnout_risk_score_0_100,burnout_band,integrity_band,coaching_priority_band,managerial_story,therapist_name_perf,upsell_score_0_100,total_commercial_score_0_100,bonus_reward_eligibility_flag,commercial_reward_reason,top3_therapist_flag,bottom3_therapist_flag,refresh_training_required_flag,refresh_training_reason,coaching_action_recommendation
TCS_00011,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-11-01,2017-11-30,12,therapist,full_time,yes,152.69,103.48,67.77,6436.46,62.2,42.15,65.31,39.8,21.02,16.22,2.78,2.17,17.58,81.46,88.28,54.61249999999999,90.07000000000001,98.32,95.66,30.41,84.87,5.078,0,71.69,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2017-11,82.6096,0.714705,0.714705049486487,0.2339418755787381,0.0,0.0,0.0,30.15343623529412,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,56.57894435346783,63.37891939440731,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00012,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-12-01,2017-12-31,12,therapist,full_time,yes,141.25,79.83,56.52,5058.03,63.36,35.81,66.53,45.72,23.22,13.36,4.2,1.07,8.96,83.98,90.78,52.29899999999999,98.68,97.16,97.86,34.47,87.38,1.8779999999999988,0,73.65,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2017-12,60.7535,0.982731,0.9827311135403434,0.01416048550236,0.0295757103459971,1.0,1.0,50.40586235294118,guarded,healthy,watchlist,therapist performance pattern is stable with manageable coaching need,Therapist A,43.69303619080107,57.1736699049406,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00013,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-01-01,2018-01-31,12,therapist,full_time,yes,151.74,83.88,55.28,5048.74,60.19,33.27,63.2,42.39,15.92,11.48,5.92,2.96,26.03,85.66,89.99,49.161,97.44,99.67,94.08,29.155,87.82499999999999,1.748000000000006,0,71.92,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2018-01,93.0564,0.717479,0.7174792766700339,0.2316670208729185,0.0,0.0,0.0,25.71509082352941,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,50.17592328197719,59.96075780508746,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00014,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-02-01,2018-02-28,12,therapist,full_time,yes,160.8,108.44,67.44,6960.76,64.19,43.29,67.4,57.03,18.0,14.17,5.55,1.3,10.9,89.99,96.71,57.325,90.4,96.33,97.4,37.515,93.35,5.5679999999999925,0,74.45,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2018-02,82.5328,0.678919,0.6789185886206632,0.2632867540342971,0.0,0.0,0.0,29.07062870588236,guarded,healthy,stable,"underutilized therapist capacity; review shift design, demand matching, and booking conversion",Therapist A,60.09248351561858,66.55336593359023,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00015,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-03-01,2018-03-31,12,therapist,full_time,yes,161.46,94.99,58.83,6058.46,63.78,37.52,66.97,38.61,24.03,17.35,3.53,3.68,32.88,80.34,84.36,52.3095,99.01,96.74,92.64,31.32,82.35,2.4359999999999946,0,71.93,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2018-03,88.9418,0.766139,0.7661385937376497,0.1917663624152374,0.0,0.0,0.0,27.353784,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,54.79734978992926,62.5070423844611,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00016,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-04-01,2018-04-30,12,therapist,full_time,yes,140.56,74.47,52.98,4786.19,64.27,34.05,67.48,54.2,16.57,11.02,5.12,2.44,21.63,88.41,96.44,51.653,95.14,96.25,95.12,35.385000000000005,92.425,3.932000000000005,0,72.91,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2018-04,82.9913,0.767336,0.7673364245234415,0.1907840650524656,0.0,0.0,0.0,30.096008705882355,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,52.24179590971972,61.54248775034585,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00017,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-05-01,2018-05-31,12,therapist,full_time,yes,150.23,103.62,68.97,6346.73,61.25,42.25,64.31,42.6,19.25,16.53,3.99,1.4,10.51,85.67,91.08,54.8545,88.87,99.27,97.2,30.925,88.375,5.023999999999995,0,72.48,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2018-05,88.2424,0.826242,0.8262426531622798,0.1424809925958085,0.0,0.0,0.0,30.85190023529412,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,56.19831177389471,63.52507147564209,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00018,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-06-01,2018-06-30,12,therapist,full_time,yes,144.73,91.02,62.89,5786.14,63.57,39.98,66.75,54.53,27.05,12.12,4.96,1.37,11.54,81.19,84.75,56.49799999999999,94.95,96.95,97.26,40.79,82.97,3.513999999999998,0,74.11,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2018-06,67.0907,0.95577,0.9557701657319329,0.0362684663848723,0.0481079624270364,1.0,1.0,52.55395521568627,guarded,healthy,watchlist,therapist performance pattern is stable with manageable coaching need,Therapist A,45.8202264869513,58.55062456782322,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,0,1,0,Bottom-group therapist ranking; monitor closely and coach as needed.,maintain routine coaching cadence and monitor month-over-month movement
TCS_00019,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-07-01,2018-07-31,12,therapist,full_time,yes,143.07,81.79,57.17,5160.95,63.1,36.07,66.26,45.17,22.25,12.12,2.68,1.17,10.25,81.18,87.07,52.2075,99.33,97.42,97.66,33.71,84.125,1.534,0,73.23,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2018-07,82.0045,0.938932,0.938932103924252,0.0500756839798477,0.0,0.0,0.0,36.25197764705883,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,49.68464111308242,60.28005261219533,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,0,1,0,Bottom-group therapist ranking; monitor closely and coach as needed.,maintain routine coaching cadence and monitor month-over-month movement
TCS_00020,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-08-01,2018-08-31,12,therapist,full_time,yes,157.1,91.3,58.12,5583.91,61.16,35.54,64.22,54.32,17.89,9.19,4.0,3.14,23.92,90.34,91.8,52.5795,99.72,99.36,93.72,36.105,91.07,0.9959999999999952,0,74.71,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2018-08,68.8518,1.016302,1.0163020186897165,0.0,0.0,1.0,1.0,44.317438901960784,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,44.94269160981151,58.33798038539633,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00021,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-09-01,2018-09-30,12,therapist,full_time,yes,148.28,83.47,56.29,5336.24,63.93,35.99,67.13,55.45,18.66,8.95,3.01,2.61,24.7,81.66,88.19,53.1935,98.45,96.59,94.78,37.055,84.925,2.506000000000004,0,73.29,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2018-09,90.8309,0.913769,0.913769378052238,0.0707090836787143,0.0,0.0,0.0,34.60073905882352,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,50.91654752161646,60.98460113688906,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00022,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-10-01,2018-10-31,12,therapist,full_time,yes,147.58,82.59,55.96,4915.76,59.52,33.31,62.5,41.46,17.5,15.62,2.24,2.63,21.63,95.96,90.79,49.262,98.12,99.0,94.74,29.48,93.375,1.6779999999999984,0,72.9,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2018-10,81.6808,0.790615,0.7906148588495449,0.1716958190305815,0.0,0.0,0.0,28.80100988235294,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,48.9811030735994,59.74460669047968,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00023,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-11-01,2018-11-30,12,therapist,full_time,yes,154.57,93.49,60.48,5677.65,60.73,36.73,63.77,43.3,27.03,10.91,3.75,1.56,12.27,85.61,85.12,52.97299999999999,97.36,99.79,96.88,35.165,85.36500000000001,1.451999999999992,0,73.83,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2018-11,82.1353,0.731206,0.7312058052219154,0.2204112914345817,0.0,0.0,0.0,27.348611058823533,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,52.689105921102616,62.20250825660644,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00024,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-12-01,2018-12-31,12,therapist,full_time,yes,154.65,91.74,59.32,5880.53,64.1,38.02,67.3,52.18,17.5,13.63,4.97,3.22,24.51,90.13,91.8,53.649,98.52,96.42000000000002,93.56,34.84,90.965,2.66799999999999,0,73.97,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2018-12,81.1001,0.921612,0.9216117657695668,0.0642783533604242,0.0,0.0,0.0,33.95297623529412,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,53.40905838684606,62.66148211276534,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00025,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2019-01-01,2019-01-31,12,therapist,full_time,yes,155.55,88.52,56.91,5535.16,62.53,35.58,65.66,42.85,25.9,12.81,4.57,3.2,24.92,92.71,95.64,52.1165,99.07,97.99,93.6,34.375,94.175,1.8159999999999996,0,74.36,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2019-01,89.499,0.780836,0.7808358260038089,0.1797145624368449,0.0,0.0,0.0,29.63273176470588,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,52.71117328862919,62.45314530874606,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00026,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2019-02-01,2019-02-28,12,therapist,full_time,yes,158.51,100.07,63.13,6285.4,62.81,39.65,65.95,56.43,18.23,10.4,4.05,2.9,24.39,92.01,89.81,55.278,94.71,97.71,94.2,37.33,90.91,3.611999999999994,0,74.28,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2019-02,85.4994,0.762904,0.7629042660734405,0.1944184662472368,0.0,0.0,0.0,27.69075435294118,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,56.65863817639706,64.58825099701839,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00027,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2019-03-01,2019-03-31,12,therapist,full_time,yes,152.65,101.97,66.8,6079.45,59.62,39.83,62.6,51.91,25.24,12.47,3.29,1.98,16.3,80.22,94.36,55.8195,91.04,99.1,96.04,38.575,87.28999999999999,4.34,0,73.74,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2019-03,66.2165,1.022375,1.0223745317751238,0.0,0.0,1.0,1.0,48.720686666666666,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,45.290386627680846,58.09271264522447,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
