city_area,location_text,outlet_name,page_title,price_hint_eur,rating,review_count,source_name,source_type,source_url
,spa in malta,experience an,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,hugo's h hotel - st. julian's,explore,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,Malta Marriott Resort & Spa,Find Out More,,,,,myoka_locations,breadth,https://myoka.com/locations
,grand hotel excelsior - valletta,grand hotel excelsior - valletta,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,"Great Siege Road, Floriana FRN 1810, Malta","Great Siege Road, Floriana FRN 1810, Malta",,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,"40 Windsor Court Flat 2B, Windsor Terrace, Sliema SLM 1856",HEAD OFFICE,,,,,myoka_contact,breadth,https://myoka.com/contact-us
,Hilton Malta,Hilton Malta,,,,,myoka_locations,breadth,https://myoka.com/locations
,Hilton Malta St. Julian’s,Hilton Malta St. Julian’s,,,,,myoka_contact,breadth,https://myoka.com/contact-us
,hugo's h hotel - st. julian's,hugo's h hotel - st. julian's,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,hyatt regency - st. julian's,hyatt regency - st. julian's,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,Il-Mellieħa,Il-Mellieħa,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,St Julian's,Including Public Holidays,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,intercontinental hotel - st. julian's,intercontinental hotel - st. julian's,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,LEADING SPA OPERATOR IN MALTA,LEADING SPA OPERATOR IN MALTA,,,,,myoka_locations,breadth,https://myoka.com/locations
,Malta Marriott Resort & Spa,Malta Marriott Resort & Spa,,,,,myoka_locations,breadth,https://myoka.com/locations
,Malta STJ 3310,Malta STJ 3310,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,Malta Marriott Resort & Spa,Mon – Fri: 10am - 8pm,,,,,myoka_contact,breadth,https://myoka.com/contact-us
,"Radisson Blu Resort & Spa, Malta Golden Sands",Mon – Fri: 9am - 8pm,,,,,myoka_contact,breadth,https://myoka.com/contact-us
,DoubleTree by Hilton Malta,Mon – Sun: 9am – 7pm,,,,,myoka_contact,breadth,https://myoka.com/contact-us
,"40 Windsor Court Flat 2B, Windsor Terrace, Sliema SLM 1856",MYOKA LTD.,,,,,myoka_contact,breadth,https://myoka.com/contact-us
,"A charming coastal escape in Qawra, with views of the Mediterranean Sea and St. Paul’s Islands. Enjoy a multisensory journey with five-star facilities.",NEW,,,,,myoka_locations,breadth,https://myoka.com/locations
,novotel malta sliema,novotel malta sliema,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,Over 4000+ five-star reviews across our spa venues in malta,Over 4000+ five-star reviews across our spa venues in malta,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,Over 4000+ five-star reviews across our spa venues in malta,personalise your experience,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,"Portomaso, Saint Julian’s, Malta","Portomaso, Saint Julian’s, Malta",,,,,myoka_contact,breadth,https://myoka.com/contact-us
,"Qawra Coast Road,","Qawra Coast Road,",,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,"Qawra SPB 1981,","Qawra SPB 1981,",,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,"Qawra, St Pauls Bay","Qawra, St Pauls Bay",,,,,myoka_contact,breadth,https://myoka.com/contact-us
,"Tucked along the golden sands of Malta’s iconic Golden Bay and surrounded by nature, this serene escape offers personalised treatments and luxury facilities.","Radisson Blu Resort & Spa, Golden Sands",,,,,myoka_locations,breadth,https://myoka.com/locations
,"Radisson Blu Resort & Spa, Malta Golden Sands","Radisson Blu Resort & Spa, Malta Golden Sands",,,,,myoka_contact,breadth,https://myoka.com/contact-us
,ramla bay resort - MELLIEĦA,ramla bay resort - MELLIEĦA,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,Over 4000+ five-star reviews across our spa venues in malta,"real people, real reviews",,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,riviera spa resort - MELLIEĦA,riviera spa resort - MELLIEĦA,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,"St. Paul’s Bay, Malta","Salini Resort, Salina - by appointment only",,,,,myoka_contact,breadth,https://myoka.com/contact-us
,spa in malta,spa in malta,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,St Julian's,St George's Bay,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,St Julian's,St Julian's,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,"St. Paul’s Bay, Malta","St. Paul’s Bay, Malta",,,,,myoka_contact,breadth,https://myoka.com/contact-us
,"Radisson Blu Resort & Spa, Malta Golden Sands","T: +356 2137 0163, E: lotus@myoka.com",,,,,myoka_contact,breadth,https://myoka.com/contact-us
,Malta Marriott Resort & Spa,"T: +356 2137 0194, E: hilton@myoka.com",,,,,myoka_contact,breadth,https://myoka.com/contact-us
,DoubleTree by Hilton Malta,"T: +356 23561191, E: goldensands@myoka.com",,,,,myoka_contact,breadth,https://myoka.com/contact-us
,"66 St. Pauls Street, Valletta, Malta","T: +356 2788 8408, E: salini@myoka.com",,,,,myoka_contact,breadth,https://myoka.com/contact-us
,"St. Paul’s Bay, Malta","Tel: +356 2157 7500, E: doubletree@myoka.com",,,,,myoka_contact,breadth,https://myoka.com/contact-us
,Il-Mellieħa,"Triq Ir-Ramla,",,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,@carismaspamalta,wellness@carismaspa.com,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,"Explore Carisma Spa locations around Malta, where bliss and relaxation meet. Each of our spas offers a serene environment, state-of-the-art facilities, and a wide range of rejuvena",YEARS OF  EXCELLENCE,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
,​Malta,​Malta,,,,,carisma_locations,breadth,https://www.carismaspa.com/carisma-spa-locations-in-malta
