action_queue_id,month_id,period_start,period_end,outlet_id,outlet_name,action_type,action_theme,management_signal,recommended_action,revenue_impact_direction,team_impact_direction,execution_priority_score,manager_note,action_priority_rank,execution_priority
MAQ_00015,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_001,Valletta,staff_commercial,watchlist_commercial_coaching,watchlist_commercial_coaching,run targeted commercial coaching on retail recommendation and attach-rate improvement,recoverable_upside,neutral,25.117271583935374,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,15,normal
MAQ_00016,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,23.594347587831734,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",16,normal
MAQ_00017,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,23.05741479969363,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",17,normal
MAQ_00018,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,22.98413078429628,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",18,normal
MAQ_00019,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,20.525347587831742,maintain and monitor treatment line performance within current operating rhythm,19,normal
MAQ_00020,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,20.43841479969363,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",20,normal
MAQ_00021,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,19.92413078429628,maintain and monitor treatment line performance within current operating rhythm,21,normal
MAQ_00022,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_003,St Julians,staff_commercial,maintain_monitor,maintain_monitor,maintain current commercial coaching cadence,recoverable_upside,neutral,19.89153940410548,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,22,normal
MAQ_00023,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_002,Sliema,staff_commercial,maintain_monitor,maintain_monitor,maintain current commercial coaching cadence,recoverable_upside,neutral,19.87557064075755,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,23,normal
MAQ_00024,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_001,Valletta,staff_commercial,maintain_monitor,maintain_monitor,maintain current commercial coaching cadence,recoverable_upside,neutral,19.77405489463822,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,24,normal
MAQ_00025,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_003,St Julians,staff_commercial,maintain_monitor,maintain_monitor,maintain current commercial coaching cadence,recoverable_upside,neutral,19.54142408438211,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,25,normal
MAQ_00026,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_002,Sliema,staff_commercial,maintain_monitor,maintain_monitor,maintain current commercial coaching cadence,recoverable_upside,neutral,19.525455321034183,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,26,normal
MAQ_00027,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_001,Valletta,staff_commercial,maintain_monitor,maintain_monitor,maintain current commercial coaching cadence,recoverable_upside,neutral,19.42393957491485,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,27,normal
MAQ_00028,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_003,St Julians,staff_commercial,maintain_monitor,maintain_monitor,maintain current commercial coaching cadence,recoverable_upside,neutral,19.191308764658743,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,28,normal
MAQ_00029,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_002,Sliema,staff_commercial,maintain_monitor,maintain_monitor,maintain current commercial coaching cadence,recoverable_upside,neutral,19.17534000131081,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,29,normal
MAQ_00030,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_001,Valletta,staff_commercial,maintain_monitor,maintain_monitor,maintain current commercial coaching cadence,recoverable_upside,neutral,19.07382425519148,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,30,normal
MAQ_00031,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,18.71184758783174,maintain and monitor treatment line performance within current operating rhythm,31,normal
MAQ_00032,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,18.446347587831745,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",32,normal
MAQ_00033,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,18.08184758783174,treatment line can support commercial push without materially raising team strain,33,normal
MAQ_00034,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.91984758783174,treatment line can support commercial push without materially raising team strain,34,normal
MAQ_00035,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,17.813630784296283,maintain and monitor treatment line performance within current operating rhythm,35,normal
MAQ_00036,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,17.711414799693628,maintain and monitor treatment line performance within current operating rhythm,36,normal
MAQ_00037,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,17.63491479969363,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",37,normal
MAQ_00038,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,17.585414799693627,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",38,normal
MAQ_00039,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.395130784296278,treatment line can support commercial push without materially raising team strain,39,normal
MAQ_00040,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.28713078429628,treatment line can support commercial push without materially raising team strain,40,normal
MAQ_00041,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.20884758783174,treatment line can support commercial push without materially raising team strain,41,normal
MAQ_00042,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.177347587831743,treatment line can support commercial push without materially raising team strain,42,normal
MAQ_00043,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.06341479969363,treatment line can support commercial push without materially raising team strain,43,normal
MAQ_00044,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,16.85513078429628,treatment line can support commercial push without materially raising team strain,44,normal
MAQ_00045,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,16.667414799693624,treatment line can support commercial push without materially raising team strain,45,normal
MAQ_00046,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,16.43791479969363,treatment line can support commercial push without materially raising team strain,46,normal
MAQ_00047,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,16.35113078429628,treatment line can support commercial push without materially raising team strain,47,normal
MAQ_00048,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,16.151347587831744,treatment line can support commercial push without materially raising team strain,48,normal
MAQ_00049,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,15.766130784296278,treatment line can support commercial push without materially raising team strain,49,normal
MAQ_00050,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,therapist_coaching,routine_coaching,routine_coaching,maintain routine coaching cadence,protective,neutral,15.711404847058825,Bottom-group therapist ranking; monitor closely and coach as needed.,50,normal
MAQ_00051,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,therapist_coaching,routine_coaching,routine_coaching,maintain routine coaching cadence,protective,neutral,14.796717411764703,Bottom-group therapist ranking; monitor closely and coach as needed.,51,normal
MAQ_00052,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,therapist_coaching,routine_coaching,routine_coaching,maintain routine coaching cadence,protective,neutral,14.710899247058824,No immediate refresh training trigger under current modeled threshold.,52,normal
MAQ_00053,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,14.633414799693623,treatment line can support commercial push without materially raising team strain,53,normal
MAQ_00054,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_003,St Julians,staff_commercial,maintain_monitor,maintain_monitor,maintain current commercial coaching cadence,recoverable_upside,neutral,14.548322714808316,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,54,normal
MAQ_00055,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_002,Sliema,staff_commercial,maintain_monitor,maintain_monitor,maintain current commercial coaching cadence,recoverable_upside,neutral,14.532353951460395,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,55,normal
MAQ_00056,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,14.51963078429628,treatment line can support commercial push without materially raising team strain,56,normal
MAQ_00057,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_001,Valletta,staff_commercial,maintain_monitor,maintain_monitor,maintain current commercial coaching cadence,recoverable_upside,neutral,14.43083820534106,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,57,normal
MAQ_00058,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,therapist_coaching,routine_coaching,routine_coaching,maintain routine coaching cadence,protective,neutral,14.38182150588235,Bottom-group therapist ranking; monitor closely and coach as needed.,58,normal
MAQ_00059,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,14.30634758783174,treatment line can support commercial push without materially raising team strain,59,normal
MAQ_00060,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,therapist_coaching,routine_coaching,routine_coaching,maintain routine coaching cadence,protective,neutral,14.12155684705882,No immediate refresh training trigger under current modeled threshold.,60,normal
MAQ_00061,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,13.727630784296275,treatment line can support commercial push without materially raising team strain,61,normal
MAQ_00062,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,therapist_coaching,routine_coaching,routine_coaching,maintain routine coaching cadence,protective,neutral,13.319743811764706,No immediate refresh training trigger under current modeled threshold.,62,normal
MAQ_00063,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,13.121414799693628,treatment line can support commercial push without materially raising team strain,63,normal
MAQ_00064,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,outlet_management,team_stability,protect_team_stability,"rebalance workload, recovery gaps, and coaching cadence",protective,stabilize,57.41850925869826,team stability protection is needed to sustain service quality and avoid burnout-driven revenue loss | Outlet shows limited reward readiness and therapist refresh-training need.,1,high
MAQ_00065,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,therapist_coaching,refresh_training,refresh_training,"run targeted refresh training on upsell behavior, guest recommendation quality, and service consistency",protective,stabilize,48.41046801568627,Bottom-group therapist ranking combined with weak commercial score; targeted refresh training required.,2,normal
MAQ_00066,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_002,Sliema,outlet_management,balanced_control,stable_controlled_growth,maintain balanced commercial and operational control,protective,neutral,47.36976137721086,balanced commercial and operational conditions with manageable managerial control needs | Outlet shows therapist upsell reward potential with commercial coaching upside.,3,normal
MAQ_00067,2017-02,2017-02-01 00:00:00,2017-02-28 00:00:00,MLT_OUTLET_001,Valletta,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,40.77291183371052,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,4,normal
MAQ_00068,2017-02,2017-02-01 00:00:00,2017-02-28 00:00:00,MLT_OUTLET_001,Valletta,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,40.42279651398715,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,5,normal
MAQ_00069,2017-02,2017-02-01 00:00:00,2017-02-28 00:00:00,MLT_OUTLET_001,Valletta,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,38.23061770220029,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,6,normal
MAQ_00070,2017-02,2017-02-01 00:00:00,2017-02-28 00:00:00,MLT_OUTLET_002,Sliema,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,35.9680260202794,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,7,normal
MAQ_00071,2017-02,2017-02-01 00:00:00,2017-02-28 00:00:00,MLT_OUTLET_003,St Julians,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,35.91808764621872,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,8,normal
MAQ_00072,2017-02,2017-02-01 00:00:00,2017-02-28 00:00:00,MLT_OUTLET_002,Sliema,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,33.775847208492536,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,9,normal
MAQ_00073,2017-02,2017-02-01 00:00:00,2017-02-28 00:00:00,MLT_OUTLET_003,St Julians,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,33.725908834431856,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,10,normal
MAQ_00074,2017-02,2017-02-01 00:00:00,2017-02-28 00:00:00,MLT_OUTLET_002,Sliema,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,33.425731888769164,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,11,normal
MAQ_00075,2017-02,2017-02-01 00:00:00,2017-02-28 00:00:00,MLT_OUTLET_003,St Julians,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,33.37579351470849,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,12,normal
MAQ_00076,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,32.05787139408288,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",13,normal
MAQ_00077,2017-02,2017-02-01 00:00:00,2017-02-28 00:00:00,MLT_OUTLET_001,Valletta,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,31.837055053733035,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,14,normal
MAQ_00078,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_002,Sliema,therapist_coaching,refresh_training,refresh_training,"run targeted refresh training on upsell behavior, guest recommendation quality, and service consistency",protective,stabilize,30.797361929411764,Bottom-group therapist ranking combined with weak commercial score; targeted refresh training required.,15,normal
MAQ_00079,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_002,Sliema,therapist_coaching,reward_recognition,reward_recognition,recognize bonus-eligible therapist and capture best-practice upsell behavior,upside,neutral,29.647473647058824,"Therapist met upsell, retail, and service-quality guardrail threshold for bonus reward.",16,normal
MAQ_00080,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,28.62887139408288,maintain and monitor treatment line performance within current operating rhythm,17,normal
MAQ_00081,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_003,St Julians,outlet_management,balanced_control,stable_controlled_growth,maintain balanced commercial and operational control,protective,neutral,27.135153178028474,balanced commercial and operational conditions with manageable managerial control needs | Outlet commercial reward and training signals remain moderate under current modeled thresholds.,18,normal
MAQ_00082,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,26.53187139408288,maintain and monitor treatment line performance within current operating rhythm,19,normal
MAQ_00083,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,25.77137139408288,maintain and monitor treatment line performance within current operating rhythm,20,normal
MAQ_00084,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,25.38437139408288,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",21,normal
MAQ_00085,2017-02,2017-02-01 00:00:00,2017-02-28 00:00:00,MLT_OUTLET_002,Sliema,staff_commercial,watchlist_commercial_coaching,watchlist_commercial_coaching,run targeted commercial coaching on retail recommendation and attach-rate improvement,recoverable_upside,neutral,25.190105748238423,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,22,normal
MAQ_00086,2017-02,2017-02-01 00:00:00,2017-02-28 00:00:00,MLT_OUTLET_003,St Julians,staff_commercial,watchlist_commercial_coaching,watchlist_commercial_coaching,run targeted commercial coaching on retail recommendation and attach-rate improvement,recoverable_upside,neutral,25.140167374177743,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,23,normal
MAQ_00087,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,25.13237139408288,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",24,normal
MAQ_00088,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,24.90287139408288,maintain and monitor treatment line performance within current operating rhythm,25,normal
MAQ_00089,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,24.70937139408288,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",26,normal
MAQ_00090,2017-02,2017-02-01 00:00:00,2017-02-28 00:00:00,MLT_OUTLET_001,Valletta,staff_commercial,watchlist_commercial_coaching,watchlist_commercial_coaching,run targeted commercial coaching on retail recommendation and attach-rate improvement,recoverable_upside,neutral,24.65177487237239,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,27,normal
MAQ_00091,2017-02,2017-02-01 00:00:00,2017-02-28 00:00:00,MLT_OUTLET_001,Valletta,staff_commercial,watchlist_commercial_coaching,watchlist_commercial_coaching,run targeted commercial coaching on retail recommendation and attach-rate improvement,recoverable_upside,neutral,24.301659552649028,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,28,normal
MAQ_00092,2017-02,2017-02-01 00:00:00,2017-02-28 00:00:00,MLT_OUTLET_001,Valletta,staff_commercial,watchlist_commercial_coaching,watchlist_commercial_coaching,run targeted commercial coaching on retail recommendation and attach-rate improvement,recoverable_upside,neutral,23.951544232925663,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,29,normal
MAQ_00093,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,23.88137139408288,maintain and monitor treatment line performance within current operating rhythm,30,normal
MAQ_00094,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_003,St Julians,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,23.633300333653384,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",31,normal
MAQ_00095,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_002,Sliema,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,23.372700162396846,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",32,normal
MAQ_00096,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,21.40187139408288,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",33,normal
