manager_action_queue_id,source_record_id,queue_source,action_scope,action_priority,action_title,action_note,owner,outlet_id,outlet_or_entity_name,period_label
MAQ_00015,CRL_00009,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | swedish,2017-01-01 to 2017-01-31
MAQ_00016,MSL_00002,management_kpi_signal_layer,outlet_period,high,Commercial Growth,"push pricing discipline and upsell | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta,2017-02-01 to 2017-02-28
MAQ_00017,CRL_00011,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | aromatherapy,2017-02-01 to 2017-02-28
MAQ_00018,CRL_00016,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | massage,2017-02-01 to 2017-02-28
MAQ_00019,CRL_00017,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | reflexology,2017-02-01 to 2017-02-28
MAQ_00020,CRL_00019,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | swedish,2017-02-01 to 2017-02-28
MAQ_00021,MSL_00003,management_kpi_signal_layer,outlet_period,high,Commercial Growth,"push pricing discipline and upsell | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta,2017-03-01 to 2017-03-31
MAQ_00022,CRL_00021,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | aromatherapy,2017-03-01 to 2017-03-31
MAQ_00023,CRL_00022,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | body_treatment,2017-03-01 to 2017-03-31
MAQ_00024,CRL_00026,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | massage,2017-03-01 to 2017-03-31
MAQ_00025,CRL_00027,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | reflexology,2017-03-01 to 2017-03-31
MAQ_00026,CRL_00029,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | swedish,2017-03-01 to 2017-03-31
MAQ_00027,MSL_00004,management_kpi_signal_layer,outlet_period,high,Commercial Growth,"push pricing discipline and upsell | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta,2017-04-01 to 2017-04-30
MAQ_00028,CRL_00031,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | aromatherapy,2017-04-01 to 2017-04-30
MAQ_00029,CRL_00036,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | massage,2017-04-01 to 2017-04-30
MAQ_00030,CRL_00037,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | reflexology,2017-04-01 to 2017-04-30
MAQ_00031,CRL_00039,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | swedish,2017-04-01 to 2017-04-30
MAQ_00032,MSL_00005,management_kpi_signal_layer,outlet_period,high,Commercial Growth,"push pricing discipline and upsell | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta,2017-05-01 to 2017-05-31
MAQ_00033,CRL_00041,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | aromatherapy,2017-05-01 to 2017-05-31
MAQ_00034,CRL_00046,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | massage,2017-05-01 to 2017-05-31
MAQ_00035,CRL_00047,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | reflexology,2017-05-01 to 2017-05-31
MAQ_00036,CRL_00049,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | swedish,2017-05-01 to 2017-05-31
MAQ_00037,MSL_00006,management_kpi_signal_layer,outlet_period,high,Commercial Growth,"push pricing discipline and upsell | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta,2017-06-01 to 2017-06-30
MAQ_00038,CRL_00051,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | aromatherapy,2017-06-01 to 2017-06-30
MAQ_00039,CRL_00056,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | massage,2017-06-01 to 2017-06-30
MAQ_00040,CRL_00057,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | reflexology,2017-06-01 to 2017-06-30
MAQ_00041,CRL_00058,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | scrub,2017-06-01 to 2017-06-30
MAQ_00042,CRL_00059,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | swedish,2017-06-01 to 2017-06-30
MAQ_00043,MSL_00007,management_kpi_signal_layer,outlet_period,high,Commercial Growth,"push pricing discipline and upsell | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta,2017-07-01 to 2017-07-31
MAQ_00044,CRL_00061,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | aromatherapy,2017-07-01 to 2017-07-31
MAQ_00045,CRL_00066,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | massage,2017-07-01 to 2017-07-31
MAQ_00046,CRL_00067,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | reflexology,2017-07-01 to 2017-07-31
MAQ_00047,CRL_00069,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | swedish,2017-07-01 to 2017-07-31
MAQ_00048,MSL_00008,management_kpi_signal_layer,outlet_period,high,Commercial Growth,"push pricing discipline and upsell | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta,2017-08-01 to 2017-08-31
MAQ_00049,CRL_00071,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | aromatherapy,2017-08-01 to 2017-08-31
MAQ_00050,CRL_00076,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | massage,2017-08-01 to 2017-08-31
MAQ_00051,CRL_00077,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | reflexology,2017-08-01 to 2017-08-31
MAQ_00052,CRL_00078,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | scrub,2017-08-01 to 2017-08-31
MAQ_00053,CRL_00079,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | swedish,2017-08-01 to 2017-08-31
MAQ_00054,MSL_00009,management_kpi_signal_layer,outlet_period,high,Commercial Growth,"push pricing discipline and upsell | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta,2017-09-01 to 2017-09-30
MAQ_00055,CRL_00081,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | aromatherapy,2017-09-01 to 2017-09-30
MAQ_00056,CRL_00086,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | massage,2017-09-01 to 2017-09-30
MAQ_00057,CRL_00087,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | reflexology,2017-09-01 to 2017-09-30
MAQ_00058,CRL_00089,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | swedish,2017-09-01 to 2017-09-30
MAQ_00059,MSL_00010,management_kpi_signal_layer,outlet_period,high,Commercial Growth,"push pricing discipline and upsell | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta,2017-10-01 to 2017-10-31
MAQ_00060,CRL_00091,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | aromatherapy,2017-10-01 to 2017-10-31
MAQ_00061,CRL_00092,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | body_treatment,2017-10-01 to 2017-10-31
MAQ_00062,CRL_00096,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | massage,2017-10-01 to 2017-10-31
MAQ_00063,CRL_00097,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | reflexology,2017-10-01 to 2017-10-31
MAQ_00064,CRL_00098,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | scrub,2017-10-01 to 2017-10-31
MAQ_00065,CRL_00099,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | swedish,2017-10-01 to 2017-10-31
MAQ_00066,MSL_00011,management_kpi_signal_layer,outlet_period,high,Team Sustainability,"rebalance roster and protect therapist recovery | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta,2017-11-01 to 2017-11-30
MAQ_00067,CRL_00101,conflict_resolution_layer,treatment_conflict,high,High Rev Burnout Risk,"rebalance roster and coaching support | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | aromatherapy,2017-11-01 to 2017-11-30
MAQ_00068,CRL_00102,conflict_resolution_layer,treatment_conflict,high,High Rev Burnout Risk,"rebalance roster and coaching support | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | body_treatment,2017-11-01 to 2017-11-30
MAQ_00069,CRL_00103,conflict_resolution_layer,treatment_conflict,high,High Rev Burnout Risk,"rebalance roster and coaching support | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | deep_tissue,2017-11-01 to 2017-11-30
MAQ_00070,CRL_00104,conflict_resolution_layer,treatment_conflict,high,High Rev Burnout Risk,"rebalance roster and coaching support | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | facial,2017-11-01 to 2017-11-30
MAQ_00071,CRL_00105,conflict_resolution_layer,treatment_conflict,high,High Rev Burnout Risk,"rebalance roster and coaching support | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | hot_stone,2017-11-01 to 2017-11-30
MAQ_00072,CRL_00106,conflict_resolution_layer,treatment_conflict,high,High Rev Burnout Risk,"rebalance roster and coaching support | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | massage,2017-11-01 to 2017-11-30
MAQ_00073,CRL_00107,conflict_resolution_layer,treatment_conflict,high,High Rev Burnout Risk,"rebalance roster and coaching support | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | reflexology,2017-11-01 to 2017-11-30
MAQ_00074,CRL_00108,conflict_resolution_layer,treatment_conflict,high,High Rev Burnout Risk,"rebalance roster and coaching support | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | scrub,2017-11-01 to 2017-11-30
MAQ_00075,CRL_00109,conflict_resolution_layer,treatment_conflict,high,High Rev Burnout Risk,"rebalance roster and coaching support | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | swedish,2017-11-01 to 2017-11-30
MAQ_00076,CRL_00110,conflict_resolution_layer,treatment_conflict,high,High Rev Burnout Risk,"rebalance roster and coaching support | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | wrap,2017-11-01 to 2017-11-30
MAQ_00077,MSL_00012,management_kpi_signal_layer,outlet_period,high,Commercial Growth,"push pricing discipline and upsell | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta,2017-12-01 to 2017-12-31
MAQ_00078,CRL_00111,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | aromatherapy,2017-12-01 to 2017-12-31
MAQ_00079,CRL_00112,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | body_treatment,2017-12-01 to 2017-12-31
MAQ_00080,CRL_00116,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | massage,2017-12-01 to 2017-12-31
MAQ_00081,CRL_00117,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | reflexology,2017-12-01 to 2017-12-31
MAQ_00082,CRL_00118,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | scrub,2017-12-01 to 2017-12-31
MAQ_00083,CRL_00119,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | swedish,2017-12-01 to 2017-12-31
MAQ_00084,MSL_00013,management_kpi_signal_layer,outlet_period,high,Commercial Growth,"push pricing discipline and upsell | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta,2018-01-01 to 2018-01-31
MAQ_00085,CRL_00121,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | aromatherapy,2018-01-01 to 2018-01-31
MAQ_00086,CRL_00126,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | massage,2018-01-01 to 2018-01-31
MAQ_00087,CRL_00127,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | reflexology,2018-01-01 to 2018-01-31
MAQ_00088,CRL_00128,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | scrub,2018-01-01 to 2018-01-31
MAQ_00089,CRL_00129,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | swedish,2018-01-01 to 2018-01-31
MAQ_00090,MSL_00014,management_kpi_signal_layer,outlet_period,high,Commercial Growth,"push pricing discipline and upsell | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta,2018-02-01 to 2018-02-28
MAQ_00091,CRL_00131,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | aromatherapy,2018-02-01 to 2018-02-28
MAQ_00092,CRL_00136,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | massage,2018-02-01 to 2018-02-28
MAQ_00093,CRL_00137,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | reflexology,2018-02-01 to 2018-02-28
MAQ_00094,CRL_00138,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | scrub,2018-02-01 to 2018-02-28
MAQ_00095,CRL_00139,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | swedish,2018-02-01 to 2018-02-28
MAQ_00096,MSL_00015,management_kpi_signal_layer,outlet_period,high,Team Sustainability,"rebalance roster and protect therapist recovery | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta,2018-03-01 to 2018-03-31
MAQ_00097,CRL_00141,conflict_resolution_layer,treatment_conflict,high,High Rev Burnout Risk,"rebalance roster and coaching support | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | aromatherapy,2018-03-01 to 2018-03-31
MAQ_00098,CRL_00142,conflict_resolution_layer,treatment_conflict,high,High Rev Burnout Risk,"rebalance roster and coaching support | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | body_treatment,2018-03-01 to 2018-03-31
MAQ_00099,CRL_00143,conflict_resolution_layer,treatment_conflict,high,High Rev Burnout Risk,"rebalance roster and coaching support | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | deep_tissue,2018-03-01 to 2018-03-31
MAQ_00100,CRL_00144,conflict_resolution_layer,treatment_conflict,high,High Rev Burnout Risk,"rebalance roster and coaching support | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | facial,2018-03-01 to 2018-03-31
MAQ_00101,CRL_00145,conflict_resolution_layer,treatment_conflict,high,High Rev Burnout Risk,"rebalance roster and coaching support | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | hot_stone,2018-03-01 to 2018-03-31
MAQ_00102,CRL_00146,conflict_resolution_layer,treatment_conflict,high,High Rev Burnout Risk,"rebalance roster and coaching support | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | massage,2018-03-01 to 2018-03-31
MAQ_00103,CRL_00147,conflict_resolution_layer,treatment_conflict,high,High Rev Burnout Risk,"rebalance roster and coaching support | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | reflexology,2018-03-01 to 2018-03-31
