outlet_name,therapist_id,therapist_name,queue_source,action_type,action_owner,action_scope,priority,action_title,action_rationale,recommended_action,premium anchor,throughput stabilizer,commercial builder,balanced core,coaching priority,premium anchor_share,throughput stabilizer_share,commercial builder_share,balanced core_share,coaching priority_share,people_management_priority,people_management_action
Gozo Spa,GOZ_TH_002,GOZ_TH_002,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,4,2,0,1,0.3,0.4,0.2,0.0,0.1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,GOZ_TH_003,GOZ_TH_003,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,4,2,0,1,0.3,0.4,0.2,0.0,0.1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,GOZ_TH_004,GOZ_TH_004,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,4,2,0,1,0.3,0.4,0.2,0.0,0.1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,GOZ_TH_005,GOZ_TH_005,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,4,2,0,1,0.3,0.4,0.2,0.0,0.1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,GOZ_TH_006,GOZ_TH_006,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,4,2,0,1,0.3,0.4,0.2,0.0,0.1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,GOZ_TH_007,GOZ_TH_007,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,4,2,0,1,0.3,0.4,0.2,0.0,0.1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,GOZ_TH_008,GOZ_TH_008,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,4,2,0,1,0.3,0.4,0.2,0.0,0.1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,GOZ_TH_009,GOZ_TH_009,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,4,2,0,1,0.3,0.4,0.2,0.0,0.1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,GOZ_TH_010,GOZ_TH_010,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,4,2,0,1,0.3,0.4,0.2,0.0,0.1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,OUTLET_LEVEL,OUTLET_LEVEL,outlet_modeled,staffing_structure_review,Spa Manager,outlet,medium,Outlet staffing structure review,Modeled therapist pool sits above minimum safe roster requirement,"Validate outlet therapist pool against safe roster headcount, premium consistency needs, and recovery guardrails",2,4,3,0,2,0.1818,0.3636,0.2727,0.0,0.1818,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,MEL_TH_001,MEL_TH_001,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,4,3,0,2,0.1818,0.3636,0.2727,0.0,0.1818,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,MEL_TH_002,MEL_TH_002,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,4,3,0,2,0.1818,0.3636,0.2727,0.0,0.1818,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,MEL_TH_003,MEL_TH_003,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,4,3,0,2,0.1818,0.3636,0.2727,0.0,0.1818,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,MEL_TH_004,MEL_TH_004,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,4,3,0,2,0.1818,0.3636,0.2727,0.0,0.1818,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,MEL_TH_005,MEL_TH_005,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,4,3,0,2,0.1818,0.3636,0.2727,0.0,0.1818,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,MEL_TH_006,MEL_TH_006,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,4,3,0,2,0.1818,0.3636,0.2727,0.0,0.1818,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,MEL_TH_007,MEL_TH_007,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,4,3,0,2,0.1818,0.3636,0.2727,0.0,0.1818,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,MEL_TH_008,MEL_TH_008,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,4,3,0,2,0.1818,0.3636,0.2727,0.0,0.1818,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,MEL_TH_009,MEL_TH_009,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,4,3,0,2,0.1818,0.3636,0.2727,0.0,0.1818,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,MEL_TH_010,MEL_TH_010,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,4,3,0,2,0.1818,0.3636,0.2727,0.0,0.1818,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,MEL_TH_011,MEL_TH_011,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,4,3,0,2,0.1818,0.3636,0.2727,0.0,0.1818,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Qawra / St Paul’s Bay Spa,OUTLET_LEVEL,OUTLET_LEVEL,outlet_modeled,staffing_structure_review,Spa Manager,outlet,medium,Outlet staffing structure review,Modeled therapist pool fully aligned to revised safe roster requirement,"Validate outlet therapist pool against safe roster headcount, premium consistency needs, and recovery guardrails",2,0,3,0,6,0.1818,0.0,0.2727,0.0,0.5455,stabilize_people_risk,"Prioritize therapist coaching discipline, service consistency recovery, and closer floor-management follow-up before harder growth pressure."
Qawra / St Paul’s Bay Spa,QAW_TH_001,QAW_TH_001,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,0,3,0,6,0.1818,0.0,0.2727,0.0,0.5455,stabilize_people_risk,"Prioritize therapist coaching discipline, service consistency recovery, and closer floor-management follow-up before harder growth pressure."
Qawra / St Paul’s Bay Spa,QAW_TH_002,QAW_TH_002,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,0,3,0,6,0.1818,0.0,0.2727,0.0,0.5455,stabilize_people_risk,"Prioritize therapist coaching discipline, service consistency recovery, and closer floor-management follow-up before harder growth pressure."
Qawra / St Paul’s Bay Spa,QAW_TH_003,QAW_TH_003,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,0,3,0,6,0.1818,0.0,0.2727,0.0,0.5455,stabilize_people_risk,"Prioritize therapist coaching discipline, service consistency recovery, and closer floor-management follow-up before harder growth pressure."
Qawra / St Paul’s Bay Spa,QAW_TH_004,QAW_TH_004,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,0,3,0,6,0.1818,0.0,0.2727,0.0,0.5455,stabilize_people_risk,"Prioritize therapist coaching discipline, service consistency recovery, and closer floor-management follow-up before harder growth pressure."
Qawra / St Paul’s Bay Spa,QAW_TH_005,QAW_TH_005,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,0,3,0,6,0.1818,0.0,0.2727,0.0,0.5455,stabilize_people_risk,"Prioritize therapist coaching discipline, service consistency recovery, and closer floor-management follow-up before harder growth pressure."
Qawra / St Paul’s Bay Spa,QAW_TH_006,QAW_TH_006,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,0,3,0,6,0.1818,0.0,0.2727,0.0,0.5455,stabilize_people_risk,"Prioritize therapist coaching discipline, service consistency recovery, and closer floor-management follow-up before harder growth pressure."
Qawra / St Paul’s Bay Spa,QAW_TH_007,QAW_TH_007,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,0,3,0,6,0.1818,0.0,0.2727,0.0,0.5455,stabilize_people_risk,"Prioritize therapist coaching discipline, service consistency recovery, and closer floor-management follow-up before harder growth pressure."
Qawra / St Paul’s Bay Spa,QAW_TH_008,QAW_TH_008,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,0,3,0,6,0.1818,0.0,0.2727,0.0,0.5455,stabilize_people_risk,"Prioritize therapist coaching discipline, service consistency recovery, and closer floor-management follow-up before harder growth pressure."
Qawra / St Paul’s Bay Spa,QAW_TH_009,QAW_TH_009,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,0,3,0,6,0.1818,0.0,0.2727,0.0,0.5455,stabilize_people_risk,"Prioritize therapist coaching discipline, service consistency recovery, and closer floor-management follow-up before harder growth pressure."
Qawra / St Paul’s Bay Spa,QAW_TH_010,QAW_TH_010,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,0,3,0,6,0.1818,0.0,0.2727,0.0,0.5455,stabilize_people_risk,"Prioritize therapist coaching discipline, service consistency recovery, and closer floor-management follow-up before harder growth pressure."
Qawra / St Paul’s Bay Spa,QAW_TH_011,QAW_TH_011,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,2,0,3,0,6,0.1818,0.0,0.2727,0.0,0.5455,stabilize_people_risk,"Prioritize therapist coaching discipline, service consistency recovery, and closer floor-management follow-up before harder growth pressure."
Sliema / Balluta Spa,OUTLET_LEVEL,OUTLET_LEVEL,outlet_modeled,staffing_structure_review,Spa Manager,outlet,medium,Outlet staffing structure review,Modeled therapist pool sits above minimum safe roster requirement,"Validate outlet therapist pool against safe roster headcount, premium consistency needs, and recovery guardrails",6,2,3,0,2,0.4615,0.1538,0.2308,0.0,0.1538,protect_premium_core,"Protect premium anchors through selective deployment, premium-service assignment, and quality-led brand reinforcement."
Sliema / Balluta Spa,SLI_TH_001,SLI_TH_001,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,6,2,3,0,2,0.4615,0.1538,0.2308,0.0,0.1538,protect_premium_core,"Protect premium anchors through selective deployment, premium-service assignment, and quality-led brand reinforcement."
Sliema / Balluta Spa,SLI_TH_002,SLI_TH_002,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,6,2,3,0,2,0.4615,0.1538,0.2308,0.0,0.1538,protect_premium_core,"Protect premium anchors through selective deployment, premium-service assignment, and quality-led brand reinforcement."
Sliema / Balluta Spa,SLI_TH_003,SLI_TH_003,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,6,2,3,0,2,0.4615,0.1538,0.2308,0.0,0.1538,protect_premium_core,"Protect premium anchors through selective deployment, premium-service assignment, and quality-led brand reinforcement."
Sliema / Balluta Spa,SLI_TH_004,SLI_TH_004,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,6,2,3,0,2,0.4615,0.1538,0.2308,0.0,0.1538,protect_premium_core,"Protect premium anchors through selective deployment, premium-service assignment, and quality-led brand reinforcement."
Sliema / Balluta Spa,SLI_TH_005,SLI_TH_005,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,6,2,3,0,2,0.4615,0.1538,0.2308,0.0,0.1538,protect_premium_core,"Protect premium anchors through selective deployment, premium-service assignment, and quality-led brand reinforcement."
Sliema / Balluta Spa,SLI_TH_006,SLI_TH_006,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,6,2,3,0,2,0.4615,0.1538,0.2308,0.0,0.1538,protect_premium_core,"Protect premium anchors through selective deployment, premium-service assignment, and quality-led brand reinforcement."
Sliema / Balluta Spa,SLI_TH_007,SLI_TH_007,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,6,2,3,0,2,0.4615,0.1538,0.2308,0.0,0.1538,protect_premium_core,"Protect premium anchors through selective deployment, premium-service assignment, and quality-led brand reinforcement."
Sliema / Balluta Spa,SLI_TH_008,SLI_TH_008,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,6,2,3,0,2,0.4615,0.1538,0.2308,0.0,0.1538,protect_premium_core,"Protect premium anchors through selective deployment, premium-service assignment, and quality-led brand reinforcement."
Sliema / Balluta Spa,SLI_TH_009,SLI_TH_009,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,6,2,3,0,2,0.4615,0.1538,0.2308,0.0,0.1538,protect_premium_core,"Protect premium anchors through selective deployment, premium-service assignment, and quality-led brand reinforcement."
Sliema / Balluta Spa,SLI_TH_010,SLI_TH_010,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,6,2,3,0,2,0.4615,0.1538,0.2308,0.0,0.1538,protect_premium_core,"Protect premium anchors through selective deployment, premium-service assignment, and quality-led brand reinforcement."
Sliema / Balluta Spa,SLI_TH_011,SLI_TH_011,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,6,2,3,0,2,0.4615,0.1538,0.2308,0.0,0.1538,protect_premium_core,"Protect premium anchors through selective deployment, premium-service assignment, and quality-led brand reinforcement."
Sliema / Balluta Spa,SLI_TH_012,SLI_TH_012,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,6,2,3,0,2,0.4615,0.1538,0.2308,0.0,0.1538,protect_premium_core,"Protect premium anchors through selective deployment, premium-service assignment, and quality-led brand reinforcement."
Sliema / Balluta Spa,SLI_TH_013,SLI_TH_013,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,6,2,3,0,2,0.4615,0.1538,0.2308,0.0,0.1538,protect_premium_core,"Protect premium anchors through selective deployment, premium-service assignment, and quality-led brand reinforcement."
St Julian’s / Paceville Spa,OUTLET_LEVEL,OUTLET_LEVEL,outlet_modeled,staffing_structure_review,Spa Manager,outlet,medium,Outlet staffing structure review,Modeled therapist pool fully aligned to revised safe roster requirement,"Validate outlet therapist pool against safe roster headcount, premium consistency needs, and recovery guardrails",2,0,3,4,7,0.125,0.0,0.1875,0.25,0.4375,stabilize_people_risk,"Prioritize therapist coaching discipline, service consistency recovery, and closer floor-management follow-up before harder growth pressure."
