therapist_id,home_outlet_name,therapist_archetype,treatment_precision_score_0_100,service_consistency_score_0_100,long_treatment_suitability_score_0_100,premium_delivery_score_0_100,throughput_delivery_score_0_100,compression_resilience_score_0_100,recovery_discipline_score_0_100,cross_sell_maturity_score_0_100,coaching_need_score_0_100
MEL_TH_011,Mellieha Spa,flex_generalist,72,73,70,68,72,70,74,68,48
QAW_TH_001,Qawra / St Paul’s Bay Spa,throughput_capable,74,75,62,66,90,88,72,70,40
QAW_TH_002,Qawra / St Paul’s Bay Spa,throughput_capable,74,75,62,66,90,88,72,70,40
QAW_TH_003,Qawra / St Paul’s Bay Spa,throughput_capable,74,75,62,66,90,88,72,70,40
QAW_TH_004,Qawra / St Paul’s Bay Spa,throughput_capable,74,75,62,66,90,88,72,70,40
QAW_TH_005,Qawra / St Paul’s Bay Spa,balanced_core,78,80,74,76,76,74,80,72,36
QAW_TH_006,Qawra / St Paul’s Bay Spa,balanced_core,78,80,74,76,76,74,80,72,36
QAW_TH_007,Qawra / St Paul’s Bay Spa,balanced_core,78,80,74,76,76,74,80,72,36
QAW_TH_008,Qawra / St Paul’s Bay Spa,flex_generalist,72,73,70,68,72,70,74,68,48
QAW_TH_009,Qawra / St Paul’s Bay Spa,flex_generalist,72,73,70,68,72,70,74,68,48
QAW_TH_010,Qawra / St Paul’s Bay Spa,premium_capable,88,90,86,91,68,66,87,80,28
QAW_TH_011,Qawra / St Paul’s Bay Spa,premium_capable,88,90,86,91,68,66,87,80,28
STJ_TH_001,St Julian’s / Paceville Spa,throughput_capable,74,75,62,66,90,88,72,70,40
STJ_TH_002,St Julian’s / Paceville Spa,throughput_capable,74,75,62,66,90,88,72,70,40
STJ_TH_003,St Julian’s / Paceville Spa,throughput_capable,74,75,62,66,90,88,72,70,40
STJ_TH_004,St Julian’s / Paceville Spa,throughput_capable,74,75,62,66,90,88,72,70,40
STJ_TH_005,St Julian’s / Paceville Spa,throughput_capable,74,75,62,66,90,88,72,70,40
STJ_TH_006,St Julian’s / Paceville Spa,compression_specialist,76,78,64,68,92,92,76,72,38
STJ_TH_007,St Julian’s / Paceville Spa,compression_specialist,76,78,64,68,92,92,76,72,38
STJ_TH_008,St Julian’s / Paceville Spa,compression_specialist,76,78,64,68,92,92,76,72,38
STJ_TH_009,St Julian’s / Paceville Spa,compression_specialist,76,78,64,68,92,92,76,72,38
STJ_TH_010,St Julian’s / Paceville Spa,balanced_core,78,80,74,76,76,74,80,72,36
STJ_TH_011,St Julian’s / Paceville Spa,balanced_core,78,80,74,76,76,74,80,72,36
STJ_TH_012,St Julian’s / Paceville Spa,balanced_core,78,80,74,76,76,74,80,72,36
STJ_TH_013,St Julian’s / Paceville Spa,premium_capable,88,90,86,91,68,66,87,80,28
STJ_TH_014,St Julian’s / Paceville Spa,premium_capable,88,90,86,91,68,66,87,80,28
STJ_TH_015,St Julian’s / Paceville Spa,flex_generalist,72,73,70,68,72,70,74,68,48
STJ_TH_016,St Julian’s / Paceville Spa,flex_generalist,72,73,70,68,72,70,74,68,48
