treatment_health_id,outlet_id,outlet_name,market_context,period_type,period_start,period_end,rolling_window_weeks,treatment_category,treatment_variant,session_duration_min,treatment_key,pricing_position,recommended_sell_price_eur,market_price_median_eur,commercial_market_price_median_eur,benchmark_methodology_status,launch_recommendation_flag,external_demand_proxy_index,external_stress_flag,bookings_count,guest_count,sold_hours,hours_available,utilization_percent,revenue_eur,revpath_eur_per_available_hour,yield_eur_per_sold_hour,avg_ticket_eur,rebooking_rate_percent,addon_attach_rate_percent,retail_attach_rate_percent,cancellation_rate_percent,no_show_rate_percent,complaint_rate_percent,service_recovery_rate_percent,demand_strength_score,yield_quality_score,utilization_contribution_score,retention_quality_score,risk_penalty_score,market_fit_score,treatment_health_score_0_100,treatment_health_band,treatment_health_primary_driver,treatment_health_secondary_driver,treatment_health_risk_flag,treatment_health_action_hint,score_confidence_level,sample_size_observations,minimum_sample_rule_applied,data_coverage_flag,source_dependency_status,qa_status,audit_note,status
THS_00001,MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,0.883,yes,45,45,45.0,73.0,61.64,2672.1,36.6,59.38,59.38,50.78,17.87,10.4,10.75,4.2,1.16,10.73,100.0,59.38,61.64,42.5525,4.7170000000000005,78.4,71.19,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,45,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00014,MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,12,facial,basic,60,facial|basic|60,premium_core,94.0,100.0,100.0,in_line_with_market_median,launch,0.902,no,40,40,40.0,68.0,58.82,3990.0,58.68,99.75,99.75,53.6,18.75,9.69,7.25,3.23,1.81,14.17,100.0,99.75,58.82,44.8875,3.506,89.2,82.13,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,40,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00015,MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,12,hot_stone,standard,75,hot_stone|standard|75,premium_core,95.0,90.0,90.0,in_line_with_market_median,launch,0.902,no,17,17,21.25,49.25,43.15,1636.93,33.24,77.03,96.29,55.69,25.64,10.68,10.04,3.9,3.5,30.02,94.5,77.03,43.15,48.177499999999995,4.882,91.0,73.28,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,17,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00016,MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,12,massage,standard,60,massage|standard|60,accessible_premium,58.0,85.0,85.0,below_market_median,launch_with_upside_room,0.902,no,43,43,43.0,71.0,60.56,2433.8,34.28,56.6,56.6,41.98,18.74,12.84,10.48,2.95,3.29,30.34,100.0,56.6,60.56,36.17,4.687,51.4,66.07,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,43,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00017,MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,12,reflexology,standard,45,reflexology|standard|45,traffic_builder,34.0,75.0,75.0,below_market_median,launch_as_entry_price,0.902,no,43,43,32.25,60.25,53.53,1348.05,22.37,41.8,31.35,44.0,17.44,12.04,8.55,3.25,3.64,29.65,100.0,41.8,53.53,37.36,4.268,26.200000000000003,58.45,watchlist,commercial_performance,market_misalignment,risk_normal,maintain and monitor,medium,43,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00018,MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,12,scrub,standard,45,scrub|standard|45,premium_core,52.0,50.0,50.0,in_line_with_market_median,launch,0.902,no,43,43,32.25,60.25,53.53,2138.82,35.5,66.32,49.74,57.49,27.55,11.27,9.52,3.09,2.39,19.38,100.0,66.32,53.53,50.005,4.261,96.4,74.78,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,43,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00019,MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,12,swedish,standard,60,swedish|standard|60,premium_core,64.0,69.5,69.5,in_line_with_market_median,launch,0.902,no,43,43,43.0,71.0,60.56,2589.03,36.47,60.21,60.21,49.05,16.62,11.51,6.18,3.83,3.54,28.27,100.0,60.21,60.56,40.942499999999995,3.7110000000000003,90.1,72.42,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,43,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00020,MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,12,wrap,standard,60,wrap|standard|60,premium_core,82.0,72.0,72.0,exact_only_locked,review_before_launch,0.902,no,33,33,33.0,61.0,54.1,2520.21,41.31,76.37,76.37,44.36,24.07,15.85,8.45,4.96,1.67,14.92,100.0,76.37,54.1,39.287499999999994,4.356999999999999,82.0,73.84,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,33,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00021,MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,0.941,no,48,48,48.0,76.0,63.16,2848.8,37.48,59.35,59.35,49.64,17.08,16.52,9.16,3.9,1.9,14.94,100.0,59.35,63.16,41.5,4.298,78.4,71.32,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,48,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00022,MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,12,body_treatment,standard,60,body_treatment|standard|60,premium_core,69.0,77.5,77.5,below_market_median,launch,0.941,no,45,45,45.0,73.0,61.64,2870.1,39.32,63.78,63.78,40.3,22.15,11.04,8.95,4.03,2.81,22.03,100.0,63.78,61.64,35.762499999999996,4.4559999999999995,84.7,71.93,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,45,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00023,MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,12,deep_tissue,standard,60,deep_tissue|standard|60,premium_core,78.0,80.0,80.0,in_line_with_market_median,launch,0.941,no,51,51,51.0,79.0,64.56,3928.02,49.72,77.02,77.02,42.48,20.09,10.02,7.93,4.81,3.59,33.22,100.0,77.02,64.56,36.8825,4.54,96.4,77.21,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,51,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00024,MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,12,facial,basic,60,facial|basic|60,premium_core,94.0,100.0,100.0,in_line_with_market_median,launch,0.941,no,42,42,42.0,70.0,60.0,4003.44,57.19,95.32,95.32,49.99,22.36,11.18,9.3,4.45,1.26,11.72,100.0,95.32,60.0,43.082499999999996,4.377,89.2,80.92,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,42,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00025,MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,12,hot_stone,standard,75,hot_stone|standard|75,premium_core,95.0,90.0,90.0,in_line_with_market_median,launch,0.941,no,18,18,22.5,50.5,44.55,1729.8,34.25,76.88,96.1,46.29,24.71,17.07,9.17,3.02,3.48,31.56,98.0,76.88,44.55,40.895,4.353,91.0,73.15,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,18,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00026,MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,12,massage,standard,60,massage|standard|60,accessible_premium,58.0,85.0,85.0,below_market_median,launch_with_upside_room,0.941,no,45,45,45.0,73.0,61.64,2518.2,34.5,55.96,55.96,56.17,23.28,9.08,6.42,2.48,1.28,11.33,100.0,55.96,61.64,47.9475,2.926,51.4,68.13,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,45,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00027,MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,12,reflexology,standard,45,reflexology|standard|45,traffic_builder,34.0,75.0,75.0,below_market_median,launch_as_entry_price,0.941,no,45,45,33.75,61.75,54.66,1410.75,22.85,41.8,31.35,52.45,23.82,11.02,6.8,3.65,2.99,23.88,100.0,41.8,54.66,45.292500000000004,3.7329999999999997,26.200000000000003,59.96,watchlist,commercial_performance,market_misalignment,risk_normal,maintain and monitor,medium,45,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00028,MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,12,scrub,standard,45,scrub|standard|45,premium_core,52.0,50.0,50.0,in_line_with_market_median,launch,0.941,no,45,45,33.75,61.75,54.66,2207.7,35.75,65.41,49.06,55.29,23.89,14.11,9.73,3.95,1.26,10.4,100.0,65.41,54.66,47.44,4.356,96.4,74.35,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,45,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00029,MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,12,swedish,standard,60,swedish|standard|60,premium_core,64.0,69.5,69.5,in_line_with_market_median,launch,0.941,no,45,45,45.0,73.0,61.64,2705.4,37.06,60.12,60.12,47.08,26.7,14.68,7.22,4.92,3.23,27.43,100.0,60.12,61.64,41.985,4.288,90.1,72.71,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,45,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00030,MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,12,wrap,standard,60,wrap|standard|60,premium_core,82.0,72.0,72.0,exact_only_locked,review_before_launch,0.941,no,34,34,34.0,62.0,54.84,2677.5,43.19,78.75,78.75,53.0,19.37,9.22,8.46,2.59,2.81,22.05,100.0,78.75,54.84,44.5925,3.8770000000000007,82.0,75.44,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,34,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00031,MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,0.96,no,49,49,49.0,77.0,63.64,3026.73,39.31,61.77,61.77,46.66,16.19,17.35,10.77,4.74,2.2,20.74,100.0,61.77,63.64,39.0425,5.093,78.4,71.53,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,49,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00032,MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,12,body_treatment,standard,60,body_treatment|standard|60,premium_core,69.0,77.5,77.5,below_market_median,launch,0.96,no,46,46,46.0,74.0,62.16,3130.76,42.31,68.06,68.06,46.93,26.21,11.85,10.27,2.88,1.47,12.7,100.0,68.06,62.16,41.75,4.239,84.7,74.03,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,46,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00033,MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,12,deep_tissue,standard,60,deep_tissue|standard|60,premium_core,78.0,80.0,80.0,in_line_with_market_median,launch,0.96,no,52,52,52.0,80.0,65.0,4073.16,50.91,78.33,78.33,41.75,23.38,17.91,9.48,3.71,1.39,11.89,100.0,78.33,65.0,37.1575,4.234999999999999,96.4,77.67,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,52,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00034,MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,12,facial,basic,60,facial|basic|60,premium_core,94.0,100.0,100.0,in_line_with_market_median,launch,0.96,no,43,43,43.0,71.0,60.56,4280.65,60.29,99.55,99.55,52.64,20.31,11.64,9.7,4.09,3.27,29.79,100.0,99.55,60.56,44.557500000000005,4.7909999999999995,89.2,82.24,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,43,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00035,MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,12,hot_stone,standard,75,hot_stone|standard|75,premium_core,95.0,90.0,90.0,in_line_with_market_median,launch,0.96,no,18,18,22.5,50.5,44.55,1725.84,34.18,76.7,95.88,49.03,25.58,14.85,10.57,3.53,2.97,26.96,98.0,76.7,44.55,43.167500000000004,4.824,91.0,73.43,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,18,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00036,MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,12,massage,standard,60,massage|standard|60,accessible_premium,58.0,85.0,85.0,below_market_median,launch_with_upside_room,0.96,no,46,46,46.0,74.0,62.16,2618.32,35.38,56.92,56.92,41.69,22.94,9.32,7.69,3.13,2.3,19.78,100.0,56.92,62.16,37.0025,3.706,51.4,66.64,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,46,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00037,MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,12,reflexology,standard,45,reflexology|standard|45,traffic_builder,34.0,75.0,75.0,below_market_median,launch_as_entry_price,0.96,no,46,46,34.5,62.5,55.2,1471.54,23.54,42.65,31.99,40.67,25.87,12.24,8.95,2.09,1.36,11.58,100.0,42.65,55.2,36.97,3.5839999999999996,26.200000000000003,58.94,watchlist,commercial_performance,market_misalignment,risk_normal,maintain and monitor,medium,46,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00038,MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,12,scrub,standard,45,scrub|standard|45,premium_core,52.0,50.0,50.0,in_line_with_market_median,launch,0.96,no,46,46,34.5,62.5,55.2,2328.06,37.25,67.48,50.61,41.54,16.62,13.78,7.08,3.87,2.51,22.06,100.0,67.48,55.2,35.31,3.787,96.4,73.05,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,46,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00039,MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,12,swedish,standard,60,swedish|standard|60,premium_core,64.0,69.5,69.5,in_line_with_market_median,launch,0.96,no,46,46,46.0,74.0,62.16,2857.06,38.61,62.11,62.11,45.81,25.54,11.44,10.88,3.55,2.23,17.07,100.0,62.11,62.16,40.7425,4.775,90.1,73.04,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,46,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00040,MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,12,wrap,standard,60,wrap|standard|60,premium_core,82.0,72.0,72.0,exact_only_locked,review_before_launch,0.96,no,35,35,35.0,63.0,55.56,2649.85,42.06,75.71,75.71,52.53,20.91,10.56,10.81,4.51,1.44,11.5,100.0,75.71,55.56,44.625,4.884,82.0,74.76,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,35,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00041,MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,0.989,no,50,50,50.0,78.0,64.1,3006.0,38.54,60.12,60.12,45.04,27.46,15.64,9.57,3.98,2.55,22.26,100.0,60.12,64.1,40.645,4.574999999999999,78.4,71.51,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,50,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00042,MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,12,body_treatment,standard,60,body_treatment|standard|60,premium_core,69.0,77.5,77.5,below_market_median,launch,0.989,no,47,47,47.0,75.0,62.67,3080.38,41.07,65.54,65.54,53.64,16.17,10.04,7.24,3.07,1.13,8.56,100.0,65.54,62.67,44.27250000000001,3.319,84.7,73.99,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,47,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00043,MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,12,deep_tissue,standard,60,deep_tissue|standard|60,premium_core,78.0,80.0,80.0,in_line_with_market_median,launch,0.989,no,53,53,53.0,81.0,65.43,4128.7,50.97,77.9,77.9,41.76,21.9,13.26,9.52,3.42,1.48,12.43,100.0,77.9,65.43,36.795,4.178,96.4,77.59,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,53,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00044,MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,12,facial,basic,60,facial|basic|60,premium_core,94.0,100.0,100.0,in_line_with_market_median,launch,0.989,no,44,44,44.0,72.0,61.11,4236.32,58.84,96.28,96.28,40.82,20.5,14.63,9.08,3.91,2.41,22.19,100.0,96.28,61.11,35.74,4.379,89.2,80.18,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,44,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00045,MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,12,hot_stone,standard,75,hot_stone|standard|75,premium_core,95.0,90.0,90.0,in_line_with_market_median,launch,0.989,no,19,19,23.75,51.75,45.89,1795.69,34.7,75.61,94.51,51.56,16.32,14.27,6.81,2.21,3.63,31.43,100.0,75.61,45.89,42.75,3.4319999999999995,91.0,73.89,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,19,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
