treatment_health_id,outlet_id,outlet_name,market_context,period_type,period_start,period_end,rolling_window_weeks,treatment_category,treatment_variant,session_duration_min,treatment_key,pricing_position,recommended_sell_price_eur,market_price_median_eur,commercial_market_price_median_eur,benchmark_methodology_status,launch_recommendation_flag,external_demand_proxy_index,external_stress_flag,bookings_count,guest_count,sold_hours,hours_available,utilization_percent,revenue_eur,revpath_eur_per_available_hour,yield_eur_per_sold_hour,avg_ticket_eur,rebooking_rate_percent,addon_attach_rate_percent,retail_attach_rate_percent,cancellation_rate_percent,no_show_rate_percent,complaint_rate_percent,service_recovery_rate_percent,demand_strength_score,yield_quality_score,utilization_contribution_score,retention_quality_score,risk_penalty_score,market_fit_score,treatment_health_score_0_100,treatment_health_band,treatment_health_primary_driver,treatment_health_secondary_driver,treatment_health_risk_flag,treatment_health_action_hint,score_confidence_level,sample_size_observations,minimum_sample_rule_applied,data_coverage_flag,source_dependency_status,qa_status,audit_note,status
THS_00001,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-05,2026-01-11,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,0.92,no,11,11,11.0,19.0,57.89,681.12,35.85,61.92,61.92,41.18,14.5,6.7,11.4,4.1,2.8,22.4,73.5,61.92,57.89,34.51,5.209999999999999,78.4,63.96,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00012,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-12,2026-01-18,12,body_treatment,standard,60,body_treatment|standard|60,premium_core,69.0,77.5,77.5,below_market_median,launch,0.88,yes,11,11,11.0,19.0,57.89,711.48,37.45,64.68,64.68,48.66,17.29,6.76,9.83,3.19,3.59,28.72,73.5,64.68,57.89,40.817499999999995,4.624,84.7,66.44,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00013,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-12,2026-01-18,12,deep_tissue,standard,60,deep_tissue|standard|60,premium_core,78.0,80.0,80.0,in_line_with_market_median,launch,0.88,yes,11,11,11.0,19.0,57.89,824.67,43.4,74.97,74.97,52.88,19.56,7.44,9.7,4.42,2.91,23.28,73.5,74.97,57.89,44.550000000000004,4.818,96.4,70.89,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00014,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-12,2026-01-18,12,facial,basic,60,facial|basic|60,premium_core,94.0,100.0,100.0,in_line_with_market_median,launch,0.88,yes,11,11,11.0,19.0,57.89,1035.32,54.49,94.12,94.12,46.58,20.36,11.13,11.44,4.08,3.31,26.48,73.5,94.12,57.89,40.025000000000006,5.318,89.2,73.86,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00015,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-12,2026-01-18,12,hot_stone,standard,75,hot_stone|standard|75,premium_core,95.0,90.0,90.0,in_line_with_market_median,launch,0.88,yes,6,6,7.5,15.5,48.39,531.54,34.29,70.87,88.59,42.29,20.14,16.89,8.83,3.02,2.91,23.28,56.0,70.87,48.39,36.7525,4.137,91.0,62.51,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,low,6,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00016,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-12,2026-01-18,12,massage,standard,60,massage|standard|60,accessible_premium,58.0,85.0,85.0,below_market_median,launch_with_upside_room,0.88,yes,11,11,11.0,19.0,57.89,609.29,32.07,55.39,55.39,39.92,16.64,7.93,10.04,4.47,1.69,13.52,73.5,55.39,57.89,34.1,4.691,51.4,59.13,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00017,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-12,2026-01-18,12,reflexology,standard,45,reflexology|standard|45,traffic_builder,34.0,75.0,75.0,below_market_median,launch_as_entry_price,0.88,yes,11,11,8.25,16.25,50.77,382.58,23.54,46.37,34.78,50.47,14.99,16.71,11.63,4.23,3.61,28.88,73.5,46.37,50.77,41.6,5.48,26.200000000000003,53.8,watchlist,commercial_performance,market_misalignment,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00018,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-12,2026-01-18,12,scrub,standard,45,scrub|standard|45,premium_core,52.0,50.0,50.0,in_line_with_market_median,launch,0.88,yes,11,11,8.25,16.25,50.77,562.76,34.63,68.21,51.16,39.38,15.65,11.13,11.63,4.75,1.95,15.6,73.5,68.21,50.77,33.447500000000005,5.304,96.4,66.17,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00019,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-12,2026-01-18,12,swedish,standard,60,swedish|standard|60,premium_core,64.0,69.5,69.5,in_line_with_market_median,launch,0.88,yes,11,11,11.0,19.0,57.89,712.36,37.49,64.76,64.76,45.36,15.55,7.44,11.84,2.97,2.53,20.24,73.5,64.76,57.89,37.9075,4.949,90.1,66.61,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00020,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-12,2026-01-18,12,wrap,standard,60,wrap|standard|60,premium_core,82.0,72.0,72.0,exact_only_locked,review_before_launch,0.88,yes,11,11,11.0,19.0,57.89,869.33,45.75,79.03,79.03,49.93,17.82,17.66,12.17,3.61,2.56,20.48,73.5,79.03,57.89,41.902499999999996,5.246,82.0,69.68,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00021,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-19,2026-01-25,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,0.84,yes,10,10,10.0,18.0,55.56,656.8,36.49,65.68,65.68,42.89,12.59,13.31,10.21,4.27,1.9,15.2,70.0,65.68,55.56,35.315000000000005,4.724,78.4,63.84,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,10,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00022,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-19,2026-01-25,12,body_treatment,standard,60,body_treatment|standard|60,premium_core,69.0,77.5,77.5,below_market_median,launch,0.84,yes,10,10,10.0,18.0,55.56,676.4,37.58,67.64,67.64,42.17,14.32,11.87,9.41,3.84,3.72,29.76,70.0,67.64,55.56,35.2075,4.718999999999999,84.7,65.05,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,10,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00023,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-19,2026-01-25,12,deep_tissue,standard,60,deep_tissue|standard|60,premium_core,78.0,80.0,80.0,in_line_with_market_median,launch,0.84,yes,10,10,10.0,18.0,55.56,802.3,44.57,80.23,80.23,42.14,23.65,10.41,10.17,4.62,3.28,26.24,70.0,80.23,55.56,37.5175,5.092999999999999,96.4,69.82,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,10,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00024,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-19,2026-01-25,12,facial,basic,60,facial|basic|60,premium_core,94.0,100.0,100.0,in_line_with_market_median,launch,0.84,yes,10,10,10.0,18.0,55.56,933.6,51.87,93.36,93.36,51.7,17.13,8.24,11.73,4.35,1.27,10.16,70.0,93.36,55.56,43.057500000000005,5.077999999999999,89.2,72.99,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,10,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00025,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-19,2026-01-25,12,hot_stone,standard,75,hot_stone|standard|75,premium_core,95.0,90.0,90.0,in_line_with_market_median,launch,0.84,yes,6,6,7.5,15.5,48.39,532.44,34.35,70.99,88.74,45.45,15.62,13.74,11.56,4.64,1.05,8.4,56.0,70.99,48.39,37.99250000000001,5.069999999999999,91.0,62.66,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,low,6,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00026,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-19,2026-01-25,12,massage,standard,60,massage|standard|60,accessible_premium,58.0,85.0,85.0,below_market_median,launch_with_upside_room,0.84,yes,10,10,10.0,18.0,55.56,549.5,30.53,54.95,54.95,40.53,17.46,7.36,11.96,4.05,3.81,30.48,70.0,54.95,55.56,34.7625,5.5649999999999995,51.4,57.87,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,10,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00027,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-19,2026-01-25,12,reflexology,standard,45,reflexology|standard|45,traffic_builder,34.0,75.0,75.0,below_market_median,launch_as_entry_price,0.84,yes,10,10,7.5,15.5,48.39,347.6,22.43,46.35,34.76,50.33,20.88,12.36,12.71,3.8,2.98,23.84,70.0,46.35,48.39,42.9675,5.549,26.200000000000003,52.81,watchlist,commercial_performance,market_misalignment,risk_normal,maintain and monitor,medium,10,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00028,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-19,2026-01-25,12,scrub,standard,45,scrub|standard|45,premium_core,52.0,50.0,50.0,in_line_with_market_median,launch,0.84,yes,10,10,7.5,15.5,48.39,496.2,32.01,66.16,49.62,47.39,17.42,10.19,9.57,5.07,3.7,29.6,70.0,66.16,48.39,39.89750000000001,5.132000000000001,96.4,65.53,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,10,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00029,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-19,2026-01-25,12,swedish,standard,60,swedish|standard|60,premium_core,64.0,69.5,69.5,in_line_with_market_median,launch,0.84,yes,10,10,10.0,18.0,55.56,641.7,35.65,64.17,64.17,48.61,13.35,7.94,12.79,5.05,3.34,26.72,70.0,64.17,55.56,39.794999999999995,6.02,90.1,65.5,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,10,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00030,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-19,2026-01-25,12,wrap,standard,60,wrap|standard|60,premium_core,82.0,72.0,72.0,exact_only_locked,review_before_launch,0.84,yes,10,10,10.0,18.0,55.56,836.3,46.46,83.63,83.63,48.95,12.08,7.93,11.63,3.3,1.3,10.4,70.0,83.63,55.56,39.73250000000001,4.739,82.0,69.29,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,10,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00031,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-26,2026-02-01,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,0.95,no,11,11,11.0,19.0,57.89,693.33,36.49,63.03,63.03,50.08,15.8,9.9,9.77,3.7,1.67,13.36,73.5,63.03,57.89,41.510000000000005,4.374999999999999,78.4,65.42,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00032,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-26,2026-02-01,12,body_treatment,standard,60,body_treatment|standard|60,premium_core,69.0,77.5,77.5,below_market_median,launch,0.95,no,11,11,11.0,19.0,57.89,762.52,40.13,69.32,69.32,47.78,13.5,10.41,9.6,4.1,2.97,23.76,73.5,69.32,57.89,39.21,4.704,84.7,67.29,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00033,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-26,2026-02-01,12,deep_tissue,standard,60,deep_tissue|standard|60,premium_core,78.0,80.0,80.0,in_line_with_market_median,launch,0.95,no,11,11,11.0,19.0,57.89,820.71,43.2,74.61,74.61,52.96,22.1,15.54,7.98,4.35,2.18,17.44,73.5,74.61,57.89,45.245,4.135,96.4,70.97,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00034,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-26,2026-02-01,12,facial,basic,60,facial|basic|60,premium_core,94.0,100.0,100.0,in_line_with_market_median,launch,0.95,no,11,11,11.0,19.0,57.89,1013.54,53.34,92.14,92.14,50.24,16.49,6.29,9.31,3.39,1.59,12.72,73.5,92.14,57.89,41.8025,4.128,89.2,73.77,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00035,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-26,2026-02-01,12,hot_stone,standard,75,hot_stone|standard|75,premium_core,95.0,90.0,90.0,in_line_with_market_median,launch,0.95,no,7,7,8.75,16.75,52.24,661.36,39.48,75.58,94.48,52.47,17.92,6.19,7.71,4.28,3.86,30.88,59.5,75.58,52.24,43.832499999999996,4.369,91.0,66.22,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,low,7,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00036,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-26,2026-02-01,12,massage,standard,60,massage|standard|60,accessible_premium,58.0,85.0,85.0,below_market_median,launch_with_upside_room,0.95,no,11,11,11.0,19.0,57.89,652.52,34.34,59.32,59.32,52.33,16.71,10.62,8.71,4.33,3.89,31.12,73.5,59.32,57.89,43.425000000000004,4.6899999999999995,51.4,61.57,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00037,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-26,2026-02-01,12,reflexology,standard,45,reflexology|standard|45,traffic_builder,34.0,75.0,75.0,below_market_median,launch_as_entry_price,0.95,no,11,11,8.25,16.25,50.77,379.61,23.36,46.01,34.51,52.59,23.14,12.84,8.27,2.74,2.67,21.36,73.5,46.01,50.77,45.227500000000006,3.8369999999999997,26.200000000000003,54.42,watchlist,commercial_performance,market_misalignment,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00038,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-26,2026-02-01,12,scrub,standard,45,scrub|standard|45,premium_core,52.0,50.0,50.0,in_line_with_market_median,launch,0.95,no,11,11,8.25,16.25,50.77,537.57,33.08,65.16,48.87,45.91,26.04,14.89,9.46,4.38,1.42,11.36,73.5,65.16,50.77,40.942499999999995,4.436,96.4,66.71,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00039,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-26,2026-02-01,12,swedish,standard,60,swedish|standard|60,premium_core,64.0,69.5,69.5,in_line_with_market_median,launch,0.95,no,11,11,11.0,19.0,57.89,703.78,37.04,63.98,63.98,51.63,24.96,16.4,9.81,3.12,1.88,15.04,73.5,63.98,57.89,44.962500000000006,4.255,90.1,67.61,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00040,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-26,2026-02-01,12,wrap,standard,60,wrap|standard|60,premium_core,82.0,72.0,72.0,exact_only_locked,review_before_launch,0.95,no,11,11,11.0,19.0,57.89,921.25,48.49,83.75,83.75,49.08,23.23,15.55,9.05,3.4,3.39,27.12,73.5,83.75,57.89,42.6175,4.413,82.0,71.0,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00041,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-02,2026-02-08,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,1.02,no,12,12,12.0,20.0,60.0,782.64,39.13,65.22,65.22,48.25,12.58,11.59,6.95,2.59,1.28,10.24,77.0,65.22,60.0,39.3325,3.1180000000000003,78.4,66.84,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00042,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-02,2026-02-08,12,body_treatment,standard,60,body_treatment|standard|60,premium_core,69.0,77.5,77.5,below_market_median,launch,1.02,no,12,12,12.0,20.0,60.0,814.92,40.75,67.91,67.91,39.6,25.16,10.32,6.75,3.02,1.09,8.72,77.0,67.91,60.0,35.99,3.149,84.7,67.71,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00043,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-02,2026-02-08,12,deep_tissue,standard,60,deep_tissue|standard|60,premium_core,78.0,80.0,80.0,in_line_with_market_median,launch,1.02,no,12,12,12.0,20.0,60.0,882.36,44.12,73.53,73.53,48.97,13.37,6.62,7.69,3.38,1.65,13.2,77.0,73.53,60.0,40.07,3.651,96.4,71.07,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00044,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-02,2026-02-08,12,facial,basic,60,facial|basic|60,premium_core,94.0,100.0,100.0,in_line_with_market_median,launch,1.02,no,12,12,12.0,20.0,60.0,1108.92,55.45,92.41,92.41,54.61,20.26,9.88,7.76,3.11,3.18,25.44,77.0,92.41,60.0,46.022499999999994,3.897,89.2,75.67,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00045,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-02,2026-02-08,12,hot_stone,standard,75,hot_stone|standard|75,premium_core,95.0,90.0,90.0,in_line_with_market_median,launch,1.02,no,7,7,8.75,16.75,52.24,671.3,40.08,76.72,95.9,38.24,27.4,16.03,6.68,2.72,1.24,9.92,59.5,76.72,52.24,35.53,3.0680000000000005,91.0,65.27,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,low,7,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
